customer_id,first_name,last_name,email,signup_date,risk_profile,marketing_opt_in
1,Alicia,Brown,lisa55@example.com,2025-10-08,Medium,False
2,Eric,Cole,youngvictor@example.org,2023-01-24,High,False
3,Pamela,Bailey,brandydiaz@example.com,2023-12-21,Medium,True
4,Tonya,Rivera,lrobinson@example.com,2024-11-19,High,True
5,Jennifer,Mcintyre,andrew55@example.com,2024-03-05,Medium,False
6,Gina,Pierce,toddlopez@example.net,2024-01-31,Low,True
7,Robert,Stephens,richard60@example.com,2024-06-14,Low,False
8,Catherine,Williams,bakerdanny@example.org,2025-08-20,High,False
9,Charles,Roberts,williamsjacob@example.com,2023-12-17,Low,True
10,Herbert,Murphy,aprilromero@example.com,2023-12-25,Medium,False
11,James,Walker,fgreen@example.org,2025-10-16,High,False
12,Alexandria,Barrett,melinda00@example.org,2025-08-12,Medium,False
13,Dustin,Fletcher,melodylewis@example.com,2025-10-05,Low,False
14,Mike,Smith,matthewsblake@example.org,2023-03-04,Low,False
15,Michele,Martinez,aphelps@example.net,2025-09-30,Low,False
16,Thomas,Diaz,nwise@example.net,2025-08-03,Low,True
17,Ryan,Little,powerserica@example.org,2024-03-25,High,True
18,Michael,Moore,hamiltonrebecca@example.com,2024-09-20,Low,False
19,Dale,Santana,wdean@example.net,2024-03-05,High,True
20,Bryan,Jacobson,vaughnbrian@example.net,2023-02-10,High,False
21,Shari,Sutton,gwatkins@example.net,2025-07-12,Medium,True
22,David,Flores,nicholas65@example.org,2023-08-27,Low,True
23,Holly,Bender,brendamoore@example.org,2025-06-28,Low,True
24,Brittney,Anderson,martinezfrancisco@example.com,2025-02-04,High,True
25,Benjamin,Brown,thancock@example.com,2025-11-02,Medium,False
26,John,Garcia,jodyadams@example.org,2025-11-08,High,True
27,Jeremiah,Bass,turnerjames@example.com,2024-12-31,Medium,False
28,Ruben,Gonzalez,byrdtonya@example.com,2025-02-07,Low,False
29,Sean,Irwin,nicolebarker@example.org,2023-12-04,Low,False
30,Julie,Wood,karenwilliams@example.net,2024-04-29,Medium,False
31,Thomas,Moore,jasonwells@example.org,2024-09-29,High,True
32,Laura,Smith,ayoung@example.org,2023-07-16,High,False
33,Vanessa,Ford,brownsara@example.com,2023-05-20,High,True
34,Shannon,Collins,swashington@example.org,2025-05-25,Low,False
35,Rebecca,Ramirez,jclark@example.com,2025-07-12,High,True
36,Lisa,Wood,owendavid@example.net,2023-03-03,Low,False
37,Kristina,Contreras,mario81@example.com,2024-08-01,Low,False
38,Amy,Webb,amyarnold@example.com,2023-02-10,High,False
39,Gerald,Davis,danielle38@example.org,2025-04-25,Medium,True
40,Javier,Long,jonescassandra@example.com,2025-09-26,Medium,False
41,Mackenzie,Singh,xgarrett@example.com,2024-03-11,High,False
42,Jacob,Austin,powellchristopher@example.net,2022-12-11,High,True
43,Misty,Ramirez,michael68@example.net,2023-11-26,Low,True
44,Tyler,Austin,collinsderrick@example.net,2023-10-16,High,False
45,Peter,Becker,carrkaitlin@example.com,2024-03-09,High,False
46,Mark,Phillips,lisa14@example.net,2024-10-18,High,False
47,Michael,Santana,harrisonjenna@example.org,2023-04-26,Low,False
48,Jennifer,Smith,patrickcampbell@example.com,2023-12-30,Low,True
49,Tammy,White,aaronvaldez@example.org,2024-04-07,High,False
50,Stephanie,Ford,charlesricardo@example.com,2025-06-07,Medium,False
51,Daniel,Clark,richard49@example.com,2024-03-23,Low,False
52,Marcus,Jones,bentonangie@example.org,2025-08-09,High,False
53,Cynthia,Gomez,wongjohn@example.com,2025-10-02,Low,True
54,Joseph,White,buckjennifer@example.com,2025-08-30,High,False
55,Sarah,Russo,maryguzman@example.org,2023-04-22,Medium,False
56,Candace,Gregory,kimberly13@example.com,2023-06-05,Medium,True
57,Sabrina,Moreno,rodriguezsavannah@example.org,2023-07-22,Low,True
58,Christopher,Wells,andrea85@example.net,2023-05-26,Low,True
59,Ryan,Anderson,frank63@example.net,2025-08-23,Low,False
60,Haley,Burgess,cisnerosjohn@example.com,2025-04-01,High,True
61,Allison,Price,hchapman@example.org,2025-02-23,Medium,True
62,Joshua,Gutierrez,anthonyhernandez@example.net,2025-04-07,Low,False
63,Jeremy,Smith,thomas23@example.net,2023-11-29,Medium,False
64,Tyrone,Dennis,elizabeth89@example.net,2023-06-03,Low,True
65,Emily,Pitts,josephryan@example.com,2024-12-29,High,False
66,Ryan,Mercer,reyesheather@example.org,2025-04-26,High,False
67,Thomas,Collier,obrienmatthew@example.org,2024-03-11,Low,True
68,Joseph,Fitzgerald,odonnellmonica@example.org,2024-06-14,High,False
69,Sarah,Becker,jakeparks@example.com,2023-08-30,Low,True
70,Robert,Jordan,raymondshaw@example.com,2025-10-04,Low,True
71,Joshua,Tran,johngregory@example.org,2023-04-10,Medium,False
72,Sarah,Johnson,kimberly84@example.org,2024-09-01,High,True
73,Elizabeth,Carlson,kevinpreston@example.com,2024-03-11,Medium,False
74,Scott,King,gacosta@example.com,2024-03-02,Low,True
75,Steven,Jenkins,jamesfitzpatrick@example.org,2023-05-27,Medium,False
76,Michael,Holder,solislauren@example.org,2024-11-23,High,True
77,Jessica,Castro,georgemelissa@example.net,2025-06-10,Low,True
78,John,Johnson,lisa16@example.net,2024-05-01,High,False
79,Rachel,Pugh,nwilliams@example.com,2024-02-05,Medium,True
80,Joe,White,qlane@example.net,2025-01-24,Medium,True
81,Scott,Brown,tuckerjames@example.com,2025-01-18,Low,False
82,Samuel,Wright,ngarcia@example.com,2023-03-09,Low,False
83,Angie,Adams,monicadiaz@example.net,2024-12-21,Medium,True
84,Brian,Pope,timothyrodriguez@example.net,2024-12-25,High,False
85,Jennifer,Khan,alyssashannon@example.org,2025-10-13,Medium,False
86,Matthew,Shepherd,sparksapril@example.net,2025-06-23,Medium,True
87,Daniel,Hunter,adammoreno@example.com,2023-02-05,High,False
88,Daniel,Summers,qjohnson@example.net,2025-01-15,Low,False
89,Blake,Olson,brian49@example.org,2025-10-28,Low,True
90,Jason,Lane,jasonbooth@example.net,2023-02-12,High,True
91,Anita,Moreno,atkinsmargaret@example.com,2023-06-24,High,False
